severity,check,status,evidence,impacted_artifacts,recommendation,confidence
high,negative_spread,failed,gold_quotes_sjc_historical.csv: 1 rows have sell < buy for buy/sell.,gold_quotes_sjc_historical.csv,Inspect source/unit mapping and exclude invalid target rows from model training.,high
high,mixed_or_duplicate_daily_grain,failed,"pipeline_output_domestic_daily.csv: 106,008 duplicate date rows if interpreted as one-row-per-day. This table appears to be mixed source/product grain and must not be used as a daily model frame without a wider key or aggregation.",pipeline_output_domestic_daily.csv,"Declare the canonical grain, aggregate to one row per date before modeling, and reserve source/product rows for audit only.",high
high,negative_spread,failed,"pipeline_output_domestic_daily.csv: 1,544 rows have sell < buy for buy_price/sell_price.",pipeline_output_domestic_daily.csv,Inspect source/unit mapping and exclude invalid target rows from model training.,high
high,news_realtime_availability,warning,Only 14.24% of news rows are strict_realtime_verified; most rows are backfilled.,news features; event_regime; model_frame_daily; model interpretation,Exclude backfilled news from decision/paper-trading features or run sensitivity with strict-only mode.,high
medium,sbv_deposit_rate_source,passed_with_caveat,"SBV structure 137473 is classified as central_fx, not deposit_rate. No verified SBV deposit history source is present.",deposit opportunity cost features; report caveats,Keep SBV 137473 as official central FX only; use verified deposit-rate source or forward monitoring for retail rates.,high
medium,deposit_history_coverage,warning,Retail deposit rates are forward_monitoring_only; they cannot benchmark historical 2011-2026 model returns.,deposit_return_* features; opportunity cost comparison,Do not include deposit excess-return claims in historical backtests until verified historical deposit data exists.,high
medium,duplicate_named_artifact_drift,warning,global_reference_daily.csv: 2 copies with 2 different hashes.,global_reference_daily.csv; enriched\master\normalized\global_reference_daily.csv,Declare canonical artifact paths and stop reading ambiguous duplicate filenames.,high
medium,duplicate_named_artifact_drift,warning,gold_daily_enriched.csv: 2 copies with 2 different hashes.,gold_daily_enriched.csv; gold_prices\gold_daily_enriched.csv,Declare canonical artifact paths and stop reading ambiguous duplicate filenames.,high
medium,duplicate_named_artifact_drift,warning,gold_quotes_sjc_historical.csv: 2 copies with 2 different hashes.,gold_quotes_sjc_historical.csv; domestic_target\gold_quotes_sjc_historical.csv,Declare canonical artifact paths and stop reading ambiguous duplicate filenames.,high
medium,duplicate_named_artifact_drift,warning,vn_macro_asof_panel.csv: 2 copies with 2 different hashes.,vn_macro_asof_panel.csv; enriched\master\normalized\vn_macro_asof_panel.csv,Declare canonical artifact paths and stop reading ambiguous duplicate filenames.,high
