available_from,event_date,event_type,expected_channel,note,scope,severity,source
2010-04-15,2010-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2010-05-01,2010-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2010-08-15,2010-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2010-09-01,2010-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2010-10-01,2010-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2011-04-15,2011-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2011-05-01,2011-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2011-08-15,2011-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2011-09-01,2011-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2011-10-01,2011-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2012-04-15,2012-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2012-05-01,2012-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2012-08-15,2012-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2012-09-01,2012-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2012-10-01,2012-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2013-04-15,2013-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2013-05-01,2013-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2013-08-15,2013-08-15,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2013-09-01,2013-09-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2013-10-01,2013-10-01,wedding_season,premium_spike,Autumn wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
2014-04-15,2014-04-15,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,medium,rule_based_calendar
2014-05-01,2014-05-01,wedding_season,premium_spike,Spring wedding season — gold jewelry demand surge,domestic_vietnam,high,rule_based_calendar
